"Artist Name","Venue*","Country*","Address","City*","Region*","Postal Code","Timezone","Start Date* (yyyy-mm-dd)","Start Time* (HH:MM)","End Date","End Time","Streaming Link","Ticket Link","Ticket Type","Ticket Link 2","Ticket Type 2","On-Sale Date","On-Sale Time","Lineup","Event Name","Event Display Format","Description","Schedule Date","Schedule Time","Do Not Announce","Setlist","Event Image","Event Id","Status"
"Frank D'angelo","Maggie Mae's Leander","United States","105 W Willis St","Leander","TX","78641",,"2024-02-01","20:00","2024-02-01","23:00",,"","","","","","","Frank D'angelo",,"Venue Name",,,"","Y","","https://photos.bandsintown.com/large/8456493.jpeg",105118027,"PUBLISHED"
"Frank D'angelo","Maggie Mae's","United States","323 E 6th St","Austin","TX","78701",,"2024-02-07","19:00","2024-02-07","23:00",,"","","","","","","Frank D'angelo",,"Venue Name",,,"","Y","","https://photos.bandsintown.com/large/8456493.jpeg",105118039,"PUBLISHED"
